TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    54       4   5.92943209e-05   4.02102676e-03  
    54       5   2.05207291e-05   9.49828208e-04  
    54       6   7.56208111e-06   2.22568363e-04  
    54       7   2.08015844e-06   1.30256438e-05  
    54       8   5.35908988e-07   1.48751054e-05  
    55       1   6.06280397e-02   9.78041636e-01  
    55       2   9.67970695e-04   5.54323899e-02  
    55       3   1.13195077e-04   3.88783022e-03  
    55       4   4.18299666e-05   4.00142000e-04  
    55       5   9.77469727e-06   7.27089047e-04  
    55       6   4.44575145e-06   1.51559872e-04  
    55       7   1.25374248e-06   3.98292376e-05  
    55       8   5.07530121e-07   2.44656059e-05  
    56       1   6.28350809e-02   9.80850272e-01  
    56       2   1.05197168e-03   3.92466079e-02  
    56       3   1.09092542e-04   5.70892052e-03  
    56       4   5.39875582e-05   4.01013123e-04  
    56       5   1.22516894e-05   7.45131771e-04  
    56       6   4.31389016e-06   1.05564122e-04  
    56       7   1.33696820e-06   7.29157214e-05  
    56       8   5.12402293e-07   2.26951353e-05  
    57       1   6.50538631e-02   9.84137747e-01  
