Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 3.37500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.29166027e-07   8.06867755e-06  -4.85178375e-05   2.58009952e-06   3.37831115e-05   2.95568368e-07  
 3.40000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.42018809e-07   8.35557520e-06  -4.93324730e-05   2.61848508e-06   3.45222839e-05   3.01004453e-07  
 3.42500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.55183996e-07   8.65017837e-06  -5.01449735e-05   2.65988736e-06   3.53383215e-05   3.06707140e-07  
 3.45000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.68662517e-07   8.95243794e-06  -5.09552051e-05   2.71568502e-06   3.64408858e-05   3.13160635e-07  
 3.47500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.82456600e-07   9.26238464e-06  -5.17630399e-05   2.76827152e-06   3.74861376e-05   3.19657627e-07  
 3.50000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.96562904e-07   9.57992571e-06  -5.25683592e-05   2.80393678e-06   3.82102662e-05   3.25604177e-07  
 3.52500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.10984183e-07   9.90510274e-06  -5.33710601e-05   2.84513278e-06   3.90364676e-05   3.31889328e-07  
 3.55000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.25729803e-07   1.02381795e-05  -5.41710554e-05   2.89723711e-06   4.01105991e-05   3.38901173e-07  
 3.57500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.40785758e-07   1.05788129e-05  -5.49682716e-05   2.95073755e-06   4.11867728e-05   3.46076221e-07  
 3.60000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.56155809e-07   1.09270637e-05  -5.57626403e-05   2.99107025e-06   4.20022892e-05   3.52776262e-07  
