TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    29      10   1.65397782e-05   2.77656935e-03  
    29      11   8.89895777e-06   7.45538630e-04  
    29      12   3.49833183e-06   4.90982658e-04  
    29      13   2.01655105e-06   2.77701090e-04  
    29      14   1.20709746e-06   2.29184119e-04  
    29      15   5.74122568e-07   1.79994757e-04  
    30       1   5.26520215e-02   9.95307155e-01  
    30       2   7.56256639e-03   5.15768640e-01  
    30       3   8.53375181e-04   6.94493517e-01  
    30       4   5.91961581e-04   4.46940020e-01  
    30       5   3.09470635e-04   1.81044628e-01  
    30       6   1.75342461e-04   1.54378104e-01  
    30       7   1.05011638e-04   6.14287147e-02  
    30       8   5.00239491e-05   2.71651361e-02  
    30       9   2.77007195e-05   1.75708072e-02  
    30      10   1.45230631e-05   7.25459207e-03  
    30      11   8.55229909e-06   1.51621829e-03  
    30      12   4.07681094e-06   5.64720530e-04  
    30      13   2.19342804e-06   9.34712804e-04  
    30      14   1.05891681e-06   1.26721786e-05  
    30      15   3.95795273e-07   2.95231131e-05  
    31       1   5.07939959e-02   9.95312157e-01  
    31       2   6.43142603e-03   1.90445893e-01  
    31       3   4.47133760e-04   7.27531714e-01  
    31       4   2.98994626e-04   3.01038416e-01  
    31       5   1.44118145e-04   1.90899429e-01  
    31       6   6.80607852e-05   4.49678358e-02  
    31       7   3.99995214e-05   4.06633741e-02  
    31       8   2.67112186e-05   1.21440416e-02  
    31       9   1.57704658e-05   7.73158945e-03  
    31      10   7.40984241e-06   2.83823763e-03  
    31      11   4.10266901e-06   7.44857162e-04  
    31      12   1.88622173e-06   2.12764834e-04  
    31      13   8.98283442e-07   1.99813489e-04  
    32       1   4.90480330e-02   9.95318484e-01  
    32       2   5.95906763e-03   2.09124400e-01  
    32       3   4.33869757e-04   3.05079594e-01  
    32       4   2.95797693e-04   1.27818624e-01  
    32       5   1.26040636e-04   6.94020035e-02  
    32       6   7.01022473e-05   8.84272802e-03  
    32       7   4.10965081e-05   1.80860306e-02  
    32       8   1.91069740e-05   3.11893820e-03  
    32       9   9.95567611e-06   7.45713379e-03  
    32      10   4.40394836e-06   8.80352911e-04  
    32      11   1.94047904e-06   2.79906086e-04  
    32      12   1.03130561e-06   9.91445479e-05  
    32      13   5.43246402e-07   1.56524387e-04  
    33       1   4.74088897e-02   9.95317578e-01  
    33       2   4.81776093e-03   4.22709233e-01  
    33       3   8.46029943e-04   6.80030787e-01  
    33       4   6.29387617e-04   1.61320724e-01  
    33       5   3.59420602e-04   1.89123973e-01  
    33       6   1.93822718e-04   9.61829189e-02  
    33       7   9.22658066e-05   1.58336167e-02  
    33       8   6.29196116e-05   1.87628652e-03  
    33       9   2.52269908e-05   3.26820107e-03  
